name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
BEBE FIT ROUTINE,952000,TH,Youtube,1/w,运动健身,290000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-BEBE-FIT-ROUTINE.jpg,3900,127.0.0.1,11/20/2020 11:05
Booky HealthyWorld,793000,TH,Youtube,1/m,运动健身,13000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Booky-HealthyWorld.jpg,2000,127.0.0.1,11/20/2020 11:05
Kik Beauty Fit,373000,TH,Youtube,2/w,运动健身,9000,0.5,https://ho.media/wp-content/uploads/2016/09/kol-y-Kik-Beauty-Fit.jpg,1000,127.0.0.1,11/20/2020 11:05
The Inner Studio,5920000,TH,Youtube,2/w,运动健身,42000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-The-Inner-Studio.jpg,8000,127.0.0.1,11/20/2020 11:05
Healthy Bear,187000,TH,Youtube,2/m,运动健身,21000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Healthy-Bear.jpg,300,127.0.0.1,11/20/2020 11:05
KT Kratae,166000,TH,Youtube,1/w,运动健身,13000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-KT-Kratae.jpg,270,127.0.0.1,11/20/2020 11:05
car365 channel,96500,TH,Youtube,4/w,汽车/机车,13000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-car365-channel.jpg,300,127.0.0.1,11/20/2020 11:05
เรื่องรถเรื่องเล็ก,236000,TH,Youtube,2/w,汽车/机车,6000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-เรื่องรถเรื่องเล็ก.jpg,300,127.0.0.1,11/20/2020 11:05
สอน online,104000,TH,Youtube,5/w,汽车/机车,5000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-สอน-online.jpg,200,127.0.0.1,11/20/2020 11:05
กันณ์ เรสซิ่ง,403000,TH,Youtube,2/w,汽车/机车,39000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-กันณ์-เรสซิ่ง.jpg,1500,127.0.0.1,11/20/2020 11:05
พ่อมดรถยนต์,13300,TH,Youtube,3/w,汽车/机车,17000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-พ่อมดรถยนต์.jpg,50,127.0.0.1,11/20/2020 11:05
Thai Exotic Channel,305000,TH,Youtube,3/w,宠物,33000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Thai-Exotic-Channel.jpg,400,127.0.0.1,11/20/2020 11:05
Topby Toast,1450000,TH,Youtube,2/w,宠物,375000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Topby-Toast.jpg,3000,127.0.0.1,11/20/2020 11:05
