name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
Nessie Judge,7130000,ID,YouTube,3/w,生活,2200000,0.9,https://ho.media/wp-content/uploads/2016/09/kol-y-Nessie-Judge.jpg,28000,127.0.0.1,2020/11/20 11:05
Gen Halilintar,17100000,ID,YouTube,3/w,生活,700000,2.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Gen-Halilintar.jpg,40000,127.0.0.1,2020/11/20 11:05
Raditya Dika,9120000,ID,YouTube,3/w,生活,500000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Raditya-Dika.jpg,10000,127.0.0.1,2020/11/20 11:05
Ricis Official,23100000,ID,YouTube,2/d,生活,2600000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Ricis-Official.jpg,30000,127.0.0.1,2020/11/20 11:05
Edho Zell,3810000,ID,YouTube,2/w,美食烹饪,275000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-Edho-Zell.jpg,11000,127.0.0.1,2020/11/20 11:05
Miawaug,12600000,ID,YouTube,1/d,游戏,1800000,1.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Miawaug.jpg,29000,127.0.0.1,2020/11/20 11:05
Dyland PROS ,12300000,ID,YouTube,1/d,游戏,800000,0.7,https://ho.media/wp-content/uploads/2016/09/kol-y-Dyland-PROS.jpg,30000,127.0.0.1,2020/11/20 11:05
The Shiny Peanut,12000000,ID,YouTube,1/d,娱乐,90000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-The-Shiny-Peanut.jpg,1000,127.0.0.1,2020/11/20 11:05
BabyBus - Cerita & Lagu Anak-anak,11800000,ID,YouTube,3/w,教育,5000000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-y-BabyBus-Cerita-Lagu-Anak-anak.jpg,50000,127.0.0.1,2020/11/20 11:05
BUDI01 GAMING,8660000,ID,YouTube,1/d,游戏,3000000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-y-BUDI01-GAMING.jpg,24000,127.0.0.1,2020/11/20 11:05
Islam Populer,8150000,ID,YouTube,1/d,教育,150000,1.1,https://ho.media/wp-content/uploads/2016/09/kol-y-Islam-Populer.jpg,2000,127.0.0.1,2020/11/20 11:05
PANJI PETUALANG,8030000,ID,YouTube,4/w,宠物,290000,0.5,https://ho.media/wp-content/uploads/2016/09/kol-y-PANJI-PETUALANG.jpg,2000,127.0.0.1,2020/11/20 11:05
deHakims,5860000,ID,YouTube,2/d,宠物,350000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-deHakims.jpg,800,127.0.0.1,2020/11/20 11:05
Maul Ibra,4530000,ID,YouTube,1/d,游戏,200000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Maul-Ibra.jpg,600,127.0.0.1,2020/11/20 11:05
