name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
Lifehacker,4000000,US,Twitter,n/d,生活,1000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-t-Lifehacker.jpg,20000,127.0.0.1,2020/11/20 11:05
Paul Graham,1200000,US,Twitter,n/d,科技,10000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-t-Paulgraham.jpg,55000,127.0.0.1,2020/11/20 11:05
Rat king,159700,US,Twitter,n/d,科技,10000,0.5,https://ho.media/wp-content/uploads/2016/09/kol-ratking.jpg,400,127.0.0.1,2020/11/20 11:05
イナメトオル,360100,JP,Twitter,1/w,动漫,20000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-t-40mp.jpg,1500,127.0.0.1,2020/11/20 11:05
シド マオ,381800,JP,Twitter,1/d,动漫,50000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-シド-マオ.jpg,2000,127.0.0.1,2020/11/20 11:05
有吉弘行,7400000,JP,Twitter,1/d,综艺明星,100000,0.7,https://ho.media/wp-content/uploads/2016/09/kol-有吉弘行.jpg,28000,127.0.0.1,2020/11/20 11:05
徳井義実,2100000,JP,Twitter,1/d,综艺明星,40000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-徳井義実.jpeg,6000,127.0.0.1,2020/11/20 11:05
小嶋陽菜,3100000,JP,Twitter,1/d,演员,60000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-小嶋-陽菜.jpg,12000,127.0.0.1,2020/11/20 11:05
山里亮太,1400000,JP,Twitter,1/d,演员,5000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-山里亮太.jpg,1000,127.0.0.1,2020/11/20 11:05
ベッキー,1900000,JP,Twitter,n/d,演员,30000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-ベッキー.jpg,3500,127.0.0.1,2020/11/20 11:05
いとうあさこ,898700,JP,Twitter,2/w,歌手,5000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-いとうあさこ.jpg,1000,127.0.0.1,2020/11/20 11:05
椿鬼奴,50000,JP,Twitter,2/w,演员,5000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-椿鬼奴.jpg,1000,127.0.0.1,2020/11/20 11:05
