name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
Lisa Holt Design,162000,US,Youtube,2/w,家居园艺,124000,5.6,https://ho.media/wp-content/uploads/2016/09/kol-y-Lisa-Holt-Design.jpg,800,127.0.0.1,11/20/2020 11:05
Millennial Life Crisis,378000,US,Youtube,1/w,生活,91000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Millennial-Life-Crisis.jpg,1100,127.0.0.1,11/20/2020 11:05
Nick Talks Design,4660,CA,Youtube,1/w,家居园艺,11000,0.8,https://ho.media/wp-content/uploads/2016/09/kol-y-Nick-Talks-Design.jpg,100,127.0.0.1,11/20/2020 11:05
James Hoffmann,631000,UK,Youtube,1/w,生活,192000,0.7,https://ho.media/wp-content/uploads/2016/09/kol-y-James-Hoffmann.jpg,2000,127.0.0.1,11/20/2020 11:05
David Zhang,303000,CA,Youtube,2/m,科技,200000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-David-Zhang.jpg,1300,127.0.0.1,11/20/2020 11:05
Michael Soledad,32600,US,Youtube,1/w,科技,70000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-Michael-Soledad.jpg,100,127.0.0.1,11/20/2020 11:05
Diya Madhubrata Dey,1000000,IN,Youtube,2/w,生活,118000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Diya-Madhubrata-Dey.jpg,2200,127.0.0.1,11/20/2020 11:05
SuperSaf ,220000,UK,Youtube,1/w,科技,182000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-SuperSaf.jpg,800,127.0.0.1,11/20/2020 11:05
Poolarity - Life Hacks,36000,US,Youtube,2/w,生活,7000,0.5,https://ho.media/wp-content/uploads/2016/09/kol-y-Poolarity-Life-Hacks.jpg,100,127.0.0.1,11/20/2020 11:05
Stu’s Reviews,48900,UK,Youtube,2/w,3C,13000,1.1,https://ho.media/wp-content/uploads/2016/09/kol-y-Stu’s-Reviews.jpg,300,127.0.0.1,11/20/2020 11:05
Rob Greenfield,297000,US,Youtube,2/w,家居园艺,22000,0.5,https://ho.media/wp-content/uploads/2016/09/kol-y-Rob-Greenfield.jpg,600,127.0.0.1,11/20/2020 11:05
