name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
Laura in the Kitchen,3750000,US,Youtube,2/w,美食烹饪,110000,3.9,https://ho.media/wp-content/uploads/2016/09/kol-Laura-in-the-Kitchen-.jpg,20500,127.0.0.1,2020/11/20 11:05
Zoe Sugg,4800000,UK,Youtube,2/m,时尚,1000000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-Zoe-Sugg.jpg,38000,127.0.0.1,2020/11/20 11:05
NikkieTutorials,13700000,NL,Youtube,2/m,美妆,1500000,2.4,https://ho.media/wp-content/uploads/2016/09/kol-NikkieTutorials.jpg,70000,127.0.0.1,2020/11/20 11:05
Lauren Curtis,3430000,AU,Youtube,2/m,美妆,90000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-Lauren-Curtis.jpg,8000,127.0.0.1,2020/11/20 11:05
Cassandra Bankson,1320000,US,Youtube,3/w,美妆,70000,0.9,https://ho.media/wp-content/uploads/2016/09/kol-Cassandra-Bankson.jpg,9900,127.0.0.1,2020/11/20 11:05
Nicole Guerriero,2820000,US,Youtube,1/w,美妆,200000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-Nicole-Guerriero.jpg,16000,127.0.0.1,2020/11/20 11:05
ThatsHeart ,2140000,US,Youtube,2/m,美妆,90000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-ThatsHeart.jpg,10500,127.0.0.1,2020/11/20 11:05
farah dhukai,2390000,CA,Youtube,1/w,美妆,450000,0.8,https://ho.media/wp-content/uploads/2016/09/kol-farah-dhukai.jpg,12000,127.0.0.1,2020/11/20 11:05
Kaushal,2260000,UK,Youtube,1/w,美妆,150000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-Kaushal.jpg,9000,127.0.0.1,2020/11/20 11:05
Casey Holmes,1740000,UK,Youtube,1/w,美妆,190000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-Casey-Holmes.jpg,7500,127.0.0.1,2020/11/20 11:05
Jamie Paige ,473000,CA,Youtube,2/w,美妆,110000,0.9,https://ho.media/wp-content/uploads/2016/09/kol-Jamie-Paige.jpg,1500,127.0.0.1,2020/11/20 11:05
Meejmuse,471000,KR,Youtube,1/m,美妆,80000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-meejmuse.jpg,1800,127.0.0.1,2020/11/20 11:05
Samantha Ravndahl,1000000,CA,Youtube,1/m,美妆,170000,0.8,https://ho.media/wp-content/uploads/2016/09/kol-Samantha-Ravndahl.jpg,4000,127.0.0.1,2020/11/20 11:05
Melissa Samways,1520000,BR,Youtube,2/w,美妆,10000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-Melissa-Samways.jpg,3800,127.0.0.1,2020/11/20 11:05
Jessica Alba,162000,US,Youtube,2/w,美妆,55000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-Jessica-Alba.jpg,600,127.0.0.1,2020/11/20 11:05
Rosanna Pansino,12700000,US,Youtube,1/w,美食烹饪,1100000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-Rosanna-Pansino.jpg,68000,127.0.0.1,2020/11/20 11:05
Mis Pastelitos,11400000,MX,Youtube,1/w,美食烹饪,2200000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-Mis-Pastelitos.jpg,59000,127.0.0.1,2020/11/20 11:05
CupcakeJemma,2050000,UK,Youtube,1/w,美食烹饪,200000,0.1,https://ho.media/wp-content/uploads/2016/09/kol-CupcakeJemma.jpg,5000,127.0.0.1,2020/11/20 11:05
emmy madeinjapan,2270000,US,Youtube,1/w,美食烹饪,250000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-emmy-madeinjapan.jpg,7000,127.0.0.1,2020/11/20 11:05
Dacosta'sBakery,3410000,MX,Youtube,2/m,美食烹饪,1400000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-DacostasBakery.jpg,10000,127.0.0.1,2020/11/20 11:05
