name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
Jeqvape,19500,ES,YouTube,3/w,电子烟,4000,5.9,https://ho.media/wp-content/uploads/2016/09/kol-y-Jeqvape.jpg,100,127.0.0.1,11/20/2020 11:05
JaTosTo Vaper Shop,1020,ES,YouTube,2/w,电子烟,4000,1,https://ho.media/wp-content/uploads/2016/09/kol-y-JaTosTo-Vaper-Shop.jpg,50,127.0.0.1,11/20/2020 11:05
2 VAPERS 2 FURIOUS,74500,ES,YouTube,2/w,电子烟,6000,0.9,https://ho.media/wp-content/uploads/2016/09/kol-y-2-VAPERS-2-FURIOUS.jpg,200,127.0.0.1,11/20/2020 11:05
Tury vaper,39300,ES,YouTube,2/w,电子烟,6000,1.8,https://ho.media/wp-content/uploads/2016/09/kol-y-Tury-vaper.jpg,100,127.0.0.1,11/20/2020 11:05
VapTheFuck,31200,ES,YouTube,3/w,电子烟,8000,0.8,https://ho.media/wp-content/uploads/2016/09/kol-y-VapTheFuck.jpg,100,127.0.0.1,11/20/2020 11:05
MOD HOUSE CHIHUAHUA,6490,ES,YouTube,2/w,电子烟,2000,1,https://ho.media/wp-content/uploads/2016/09/kol-y-MOD-HOUSE-CHIHUAHUA-1.jpg,50,127.0.0.1,11/20/2020 11:05
Vape Zone Xtreme,3630,MX,YouTube,2/w,电子烟,1000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Vape-Zone-Xtreme.jpg,50,127.0.0.1,11/20/2020 11:05
More than Vapers,106000,ES,YouTube,1/w,电子烟,7000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-y-More-than-Vapers.jpg,300,127.0.0.1,11/20/2020 11:05
TheAitortxutxutxu,15300,ES,YouTube,2/w,电子烟,2000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-y-TheAitortxutxutxu.jpg,50,127.0.0.1,11/20/2020 11:05
Vaping Insider,50800,US,YouTube,1/w,电子烟,10000,5.7,https://ho.media/wp-content/uploads/2016/09/kol-y-Vaping-Insider.jpg,350,127.0.0.1,11/20/2020 11:05
Adrian Lo Dejavu,258000,MY,YouTube,1/d,电子烟,23000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Adrian-Lo-Dejavu.jpg,1000,127.0.0.1,11/20/2020 11:05
MIST,9320,UK,YouTube,2/m,电子烟,3000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-MIST.jpg,50,127.0.0.1,11/20/2020 11:05
MOD HOUSE CHIHUAHUA,6490,ES,YouTube,2/w,电子烟,1500,1,https://ho.media/wp-content/uploads/2016/09/kol-y-MOD-HOUSE-CHIHUAHUA.jpg,50,127.0.0.1,11/20/2020 11:05
eJuice.cz,5870,CZ,YouTube,2/w,电子烟,2000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-eJuice.cz_.jpg,50,127.0.0.1,11/20/2020 11:05
Perro Vapero,21200,MX,YouTube,1/w,电子烟,3000,1.3,https://ho.media/wp-content/uploads/2016/09/Kol-y-Perro-Vapero.jpg,50,127.0.0.1,11/20/2020 11:05
FOWTB,16100,US,YouTube,1/w,电子烟,4000,3.2,https://ho.media/wp-content/uploads/2016/09/kol-y-FOWTB.jpg,50,127.0.0.1,11/20/2020 11:05
El Vapeador Cojteño,1250,ES,YouTube,1/m,电子烟,1000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-El-Vapeador-Cojteño.jpg,50,127.0.0.1,11/20/2020 11:05
Uniko Svapo & Reviews,27600,IT,YouTube,2/w,电子烟,5000,2.8,https://ho.media/wp-content/uploads/2016/09/kol-y-Uniko-Svapo-Reviews.jpg,80,127.0.0.1,11/20/2020 11:05
BasilisL ecig Reviews,18500,GR,YouTube,2/w,电子烟,6000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-y-BasilisL-ecig-Reviews.jpg,50,127.0.0.1,11/20/2020 11:05
Noid vape,15900,CZ,YouTube,2/w,电子烟,4000,0.9,https://ho.media/wp-content/uploads/2016/09/kol-y-Noid-vape.jpg,50,127.0.0.1,11/20/2020 11:05
Dulce Vapeo,7460,ES,YouTube,2/m,电子烟,2800,6.6,https://ho.media/wp-content/uploads/2016/09/kol-y-Dulce-Vapeo.jpg,50,127.0.0.1,11/20/2020 11:05
Mars Vape,3770,CH,YouTube,2/w,电子烟,2000,1.5,https://ho.media/wp-content/uploads/2016/09/kol-y-Mars-Vape.jpg,50,127.0.0.1,11/20/2020 11:05
