name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
vape geekq8,30300,KW,YouTube,2/w,电子烟,12000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-y-vape-geekq8.jpg,200,127.0.0.1,11/20/2020 11:05
H Vaping,49700,EG,YouTube,2/w,电子烟,10000,1.2,https://ho.media/wp-content/uploads/2016/09/kol-y-H-Vaping.jpg,200,127.0.0.1,11/20/2020 11:05
DashVapes,434000,CA,YouTube,2/w,电子烟,43000,1.3,https://ho.media/wp-content/uploads/2016/09/kol-yDashVapes.jpg,2000,127.0.0.1,11/20/2020 11:05
Fumb Duck,11700,CA,YouTube,2/w,电子烟,19000,1.8,https://ho.media/wp-content/uploads/2016/09/kol-y-Fumb-Duck.jpg,100,127.0.0.1,11/20/2020 11:05
Faris.K Reviews,113000,MY,YouTube,2/w,电子烟,33000,1.4,https://ho.media/wp-content/uploads/2016/09/kol-y-Faris.K-Reviews.jpg,400,127.0.0.1,11/20/2020 11:05
Daily Vape TV,35000,US,YouTube,1/w,电子烟,2500,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-Daily-Vape-TV.jpg,50,127.0.0.1,11/20/2020 11:05
Nate420,356000,CA,YouTube,2/m,电子烟,48000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-y-Nate420.jpg,800,127.0.0.1,11/20/2020 11:05
ChaseSmokes,21900,US,YouTube,2/w,电子烟,11000,2.7,https://ho.media/wp-content/uploads/2016/09/kol-y-ChaseSmokes.jpg,100,127.0.0.1,11/20/2020 11:05
dtaprojecta,7650,ID,YouTube,2/m,电子烟,6500,1,https://ho.media/wp-content/uploads/2016/09/kol-y-dtaprojecta.jpg,100,127.0.0.1,11/20/2020 11:05
FadingVapes,4290,US,YouTube,3/m,电子烟,8500,1.3,https://ho.media/wp-content/uploads/2016/09/kol-y-FadingVapes.jpg,50,127.0.0.1,11/20/2020 11:05
James Puff,80400,PH,YouTube,3/m,电子烟,21000,0.7,https://ho.media/wp-content/uploads/2016/09/kol-y-James-Puff.jpg,50,127.0.0.1,11/20/2020 11:05
Friday Vape Club,3690,AU,YouTube,2/w,电子烟,2000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-y-Friday-Vape-Club.jpg,50,127.0.0.1,11/20/2020 11:05
FlavourVapour,14400,UK,YouTube,2/w,电子烟,4000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-FlavourVapour.jpg,50,127.0.0.1,11/20/2020 11:05
EthanSmokes,4170,US,YouTube,2/m,电子烟,12000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-EthanSmokes.jpg,50,127.0.0.1,11/20/2020 11:05
Martin Lotsberg,4520,US,YouTube,2/m,电子烟,8000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-Martin-Lotsberg.jpg,50,127.0.0.1,11/20/2020 11:05
Bentley Rolling,2650,US,YouTube,3/m,电子烟,21000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-y-Bentley-Rolling.jpg,50,127.0.0.1,11/20/2020 11:05
FadedMarky,57700,US,YouTube,2/m,电子烟,30000,0.5,https://ho.media/wp-content/uploads/2016/09/kol-y-FadedMarky.jpg,50,127.0.0.1,11/20/2020 11:05
So Fly,84200,PO,YouTube,2/w,电子烟,8000,0.7,https://ho.media/wp-content/uploads/2016/09/kol-y-So-Fly.jpg,300,127.0.0.1,11/20/2020 11:05
Strefa Wapera,49300,PO,YouTube,1/m,电子烟,17000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-Strefa-Wapera.jpg,100,127.0.0.1,11/20/2020 11:05
Oni Wapują,40500,PO,YouTube,1/m,电子烟,19000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Oni-Wapują.jpg,130,127.0.0.1,11/20/2020 11:05
Roles,261000,PO,YouTube,4/w,电子烟,9000,0.7,https://ho.media/wp-content/uploads/2016/09/kol-y-Roles.jpg,500,127.0.0.1,11/20/2020 11:05
E dymek,114000,PO,YouTube,5/w,电子烟,22000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-y-E-dymek.jpg,200,127.0.0.1,11/20/2020 11:05
