name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
城寨 Singjai,267000,HK,Youtube,1/d,生活,180000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-城寨-Singjai.jpg,600,127.0.0.1,11/20/2020 11:05
飲食男女,482000,HK,Youtube,1/d,美食烹饪,43000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-飲食男女.jpg,700,127.0.0.1,11/20/2020 11:05
Chong San 沖先生,147000,HK,Youtube,2/w,生活,31000,1.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Chong-San-沖先生.jpg,500,127.0.0.1,11/20/2020 11:05
TraveLa 莎朗,2340,HK,Youtube,4/m,生活,12000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-TraveLa-莎朗.jpg,100,127.0.0.1,11/20/2020 11:05
arhoTV,401000,HK,Youtube,3/w,生活,280000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-arhoTV.jpg,2000,127.0.0.1,11/20/2020 11:05
大衛Sir,114000,HK,Youtube,1/d,媒体,17000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-大衛Sir.jpg,300,127.0.0.1,11/20/2020 11:05
Simon,278000,HK,Youtube,1/d,媒体,150000,0.7,https://ho.media/wp-content/uploads/2016/09/kol-y-Simon.jpg,700,127.0.0.1,11/20/2020 11:05
gingerlemoncola,341000,HK,Youtube,3/w,生活,30000,0.7,https://ho.media/wp-content/uploads/2016/09/kol-y-gingerlemoncola.jpg,600,127.0.0.1,11/20/2020 11:05
鍾培生Derek Cheung,48000,HK,Youtube,3/w,生活,81000,0.8,https://ho.media/wp-content/uploads/2016/09/kol-y-鍾培生Derek-Cheung.jpg,200,127.0.0.1,11/20/2020 11:05
Chill Up,84400,HK,Youtube,2/w,生活,55000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Chill-Up.jpg,300,127.0.0.1,11/20/2020 11:05
有啖好食 Perfect Continuous Eat ,153000,HK,Youtube,2/w,生活,110000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-有啖好食-Perfect-Continuous-Eat.jpg,600,127.0.0.1,11/20/2020 11:05
