name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
Helen's Recipes,560000,VN,Youtube,1/w,美食烹饪,13000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-Helens-Recipes.jpg,800,127.0.0.1,2020/11/20 11:05
Vanessa Ziletti,350000,IT,Youtube,1/w,时尚,40000,0.8,https://ho.media/wp-content/uploads/2016/09/kol-Vanessa-Ziletti.jpg,1000,127.0.0.1,2020/11/20 11:05
Jenn Im,2830000,US,Youtube,1/w,时尚,290000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-Jenn-Im.jpg,11000,127.0.0.1,2020/11/20 11:05
Samantha Maria ,1770000,UK,Youtube,2/m,时尚,90000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-Samantha-Maria.jpg,6000,127.0.0.1,2020/11/20 11:05
Patricia Bright,2910000,UK,Youtube,3/m,时尚,350000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-Patricia-Bright.jpg,10000,127.0.0.1,2020/11/20 11:05
April Han,1880000,US,Youtube,2/m,运动健身,1500000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-April-Han.jpg,8000,127.0.0.1,2020/11/20 11:05
Mel,231000,AU,Youtube,1/w,生活,100000,1.3,https://ho.media/wp-content/uploads/2016/09/kol-Mel.jpg,900,127.0.0.1,2020/11/20 11:05
Kalyn Nicholson,1430000,CA,Youtube,3/m,时尚,90000,0.1,https://ho.media/wp-content/uploads/2016/09/kol-Kalyn-Nicholson.jpg,4000,127.0.0.1,2020/11/20 11:05
Kelsey Simone,1690000,US,Youtube,1/w,时尚,120000,0.1,https://ho.media/wp-content/uploads/2016/09/kol-Kelsey-Simone.jpg,4000,127.0.0.1,2020/11/20 11:05
Amber Scholl,3380000,US,Youtube,2/w,时尚,490000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-Amber-Scholl.jpg,16500,127.0.0.1,2020/11/20 11:05
Emily Canham,1060000,US,Youtube,1/w,时尚,140000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-Emily-Canham.jpg,4800,127.0.0.1,2020/11/20 11:05
Garden Answer ,1060000,US,Youtube,1/d,家居园艺,120000,3.1,https://ho.media/wp-content/uploads/2016/09/kol-Garden-Answer.jpg,6900,127.0.0.1,2020/11/20 11:05
Crystal Conte,228000,US,Youtube,5/m,生活,45000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-Crystal-Conte.jpg,500,127.0.0.1,2020/11/20 11:05
MsRosieBea,281000,UK,Youtube,3/m,生活,28000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-MsRosieBea.jpg,300,127.0.0.1,2020/11/20 11:05
MrBeast,46600000,US,Youtube,4/m,游戏,70000000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-MrBeast.jpg,120000,127.0.0.1,2020/11/20 11:05
FGTeeV,17400000,US,Youtube,1/w,游戏,3900000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-FGTeeV.jpg,70000,127.0.0.1,2020/11/20 11:05
rezendeevil,28300000,US,Youtube,4/d,游戏,1040000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-rezendeevil.jpg,85000,127.0.0.1,2020/11/20 11:05
Kindly Keyin,3310000,US,Youtube,1/d,游戏,660000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-Kindly-Keyin.jpg,15000,127.0.0.1,2020/11/20 11:05
