name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
максим рамон,3970,RU,YouTube,2/w,电子烟,2100,4.1,https://ho.media/wp-content/uploads/2016/09/kol-y-максим-рамон.jpg,100,127.0.0.1,11/20/2020 11:05
Hayter,3500,RU,YouTube,1/w,电子烟,14000,0.9,https://ho.media/wp-content/uploads/2016/09/kol-y-Hayter.jpg,100,127.0.0.1,11/20/2020 11:05
ALEX FOGGER,104000,RU,YouTube,1/w,电子烟,18000,1.3,https://ho.media/wp-content/uploads/2016/09/kol-y-ALEX-FOGGER.jpg,500,127.0.0.1,11/20/2020 11:05
Jon Hampton,1930,RU,YouTube,1/m,电子烟,12000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Jon-Hampton.jpg,100,127.0.0.1,11/20/2020 11:05
Uae Skills,1800000,AE,YouTube,2/w,游戏,130000,0.7,https://ho.media/wp-content/uploads/2016/09/kol-y-Uae-Skills.jpg,6000,127.0.0.1,11/20/2020 11:05
HOA BAN FOOD,2600000,VN,YouTube,2/w,美食烹饪,910000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-HOA-BAN-FOOD.jpg,5000,127.0.0.1,11/20/2020 11:05
MOGOL TV ,4640000,RU,YouTube,3/w,教育,88000,0.9,https://ho.media/wp-content/uploads/2016/09/kol-y-MOGOL-TV.jpg,12000,127.0.0.1,11/20/2020 11:05
ScortyShow,5200000,RU,YouTube,1/d,游戏,220000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-y-ScortyShow.jpg,19000,127.0.0.1,11/20/2020 11:05
SQUEEZIE GAMING,3550000,FR,YouTube,2/w,游戏,1020000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-SQUEEZIE-GAMING.jpg,13000,127.0.0.1,11/20/2020 11:05
Leon Machère,2410000,DE,YouTube,2/m,生活,340000,1.1,https://ho.media/wp-content/uploads/2016/09/kol-y-Leon-Machère.jpg,15000,127.0.0.1,11/20/2020 11:05
屎萊姆的3次元,361000,HK,YouTube,1/m,生活,180000,1.2,https://ho.media/wp-content/uploads/2016/09/kol-y-屎萊姆的3次元.jpg,1800,127.0.0.1,11/20/2020 11:05
Praja Pati,2250000,PO,YouTube,2/w,汽车/机车,8000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-Praja-Pati.jpg,6000,127.0.0.1,11/20/2020 11:05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
