name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
mintchyy,1005000,TH,Youtube,2/w,生活,87000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-mintchyy.jpg,6100,127.0.0.1,11/20/2020 11:05
Babyjingko,468000,TH,Youtube,3/m,美妆,62000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Babyjingko.jpg,2200,127.0.0.1,11/20/2020 11:05
EYETA,1050000,TH,Youtube,3/w,美妆,48000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-EYETA.jpg,4800,127.0.0.1,11/20/2020 11:05
Gamgy channel,967000,TH,Youtube,1/w,生活,190000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-Gamgy-channel.jpg,4000,127.0.0.1,11/20/2020 11:05
Bew Varaporn,53000,TH,Youtube,2/w,美妆,85000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Bew-Varaporn.jpg,100,127.0.0.1,11/20/2020 11:05
Wonderpeach,487000,TH,Youtube,3/w,美妆,29000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Wonderpeach.jpg,900,127.0.0.1,11/20/2020 11:05
Piyapeauty Makeup,374000,TH,Youtube,2/w,美妆,39000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Piyapeauty-Makeup.jpg,500,127.0.0.1,11/20/2020 11:05
ruk.sherene,80800,TH,Youtube,2/w,美妆,44000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-ruk.sherene.jpg,100,127.0.0.1,11/20/2020 11:05
TINY MAKE UP Art & Academy,61900,TH,Youtube,1/m,美妆,12000,0.1,https://ho.media/wp-content/uploads/2016/09/kol-y-TINY-MAKE-UP-Art-Academy.jpg,50,127.0.0.1,11/20/2020 11:05
ITIM'S STUFF,371000,TH,Youtube,1/w,美妆,29000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-ITIMS-STUFF.jpg,800,127.0.0.1,11/20/2020 11:05
