name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
Doelid,115000,DE,YouTube,2/w,电子烟,33000,1.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Doelid.jpg,500,127.0.0.1,2020/11/20 11:05
cloudcatcher,12100,DE,YouTube,1/m,电子烟,7600,0.8,https://ho.media/wp-content/uploads/2016/09/kol-y-cloudcatcher.jpg,100,127.0.0.1,2020/11/20 11:05
Minjas,39000,DE,YouTube,2/w,电子烟,8000,0.5,https://ho.media/wp-content/uploads/2016/09/kol-y-Minjas.jpg,150,127.0.0.1,2020/11/20 11:05
Schmitty,157000,DE,YouTube,2/w,电子烟,18000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-Schmitty.jpg,500,127.0.0.1,2020/11/20 11:05
E-Zigaretten Shop LIBACCO in Köln,2180,DE,YouTube,1/m,电子烟,2000,2,https://ho.media/wp-content/uploads/2016/09/kol-y-E-Zigaretten-Shop-LIBACCO-in-Köln.jpg,100,127.0.0.1,2020/11/20 11:05
DampferBen,8120,DE,YouTube,2/w,电子烟,3000,1.1,https://ho.media/wp-content/uploads/2016/09/kol-y-DampferBen.jpg,100,127.0.0.1,2020/11/20 11:05
YangJooYeon양주연,76500,KR,YouTube,2/w,电子烟,28000,2.1,https://ho.media/wp-content/uploads/2016/09/kol-y-YangJooYeon양주연.jpg,300,127.0.0.1,2020/11/20 11:05
버나드씨BernardC Vapes,22700,KR,YouTube,2/w,电子烟,27000,8.9,https://ho.media/wp-content/uploads/2016/09/kol-y-버나드씨BernardC-Vapes.jpg,200,127.0.0.1,2020/11/20 11:05
베이퍼 나루,7040,KR,YouTube,2/m,电子烟,22000,1.1,https://ho.media/wp-content/uploads/2016/09/kol-y-베이퍼-나루.jpg,50,127.0.0.1,2020/11/20 11:05
Taylor 909,166000,KR,YouTube,1/w,电子烟,61000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Taylor-909.jpg,600,127.0.0.1,2020/11/20 11:05
Red Kanthal,15300,KR,YouTube,1/d,电子烟,5500,8,https://ho.media/wp-content/uploads/2016/09/kol-y-Red-Kanthal.jpg,100,127.0.0.1,2020/11/20 11:05
deer deer,43500,KR,YouTube,3/w,电子烟,39000,1.6,https://ho.media/wp-content/uploads/2016/09/kol-y-deer-deer.jpg,300,127.0.0.1,2020/11/20 11:05
교주 GyoJu,119000,KR,YouTube,3/w,生活,49000,0.8,https://ho.media/wp-content/uploads/2016/09/kol-y-교주-GyoJu.jpg,500,127.0.0.1,2020/11/20 11:05
다미전담가이드,40300,KR,YouTube,2/w,电子烟,59000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-다미전담가이드.jpg,200,127.0.0.1,2020/11/20 11:05
샤파밍기,8310,KR,YouTube,2/w,电子烟,4500,1.3,https://ho.media/wp-content/uploads/2016/09/kol-y-샤파밍기.jpg,50,127.0.0.1,2020/11/20 11:05
찌워니의전담월드,11700,KR,YouTube,2/w,电子烟,32000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-찌워니의전담월드.jpg,50,127.0.0.1,2020/11/20 11:05
