name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
FlavaChaser,24900,US,Youtube,2/w,电子烟,2000,0.9,https://ho.media/wp-content/uploads/2016/09/kol-FlavaChaser.jpg,50,127.0.0.1,2020/11/20 11:05
VapingWithThesis,29300,US,Youtube,1/w,电子烟,2000,1.2,https://ho.media/wp-content/uploads/2016/09/kol-VapingWithThesis.jpg,50,127.0.0.1,2020/11/20 10:58
Todds Reviews,59500,UK,Youtube,4/w,电子烟,4000,0.8,https://ho.media/wp-content/uploads/2016/09/KOL-Todds-Reviews.jpg,150,127.0.0.1,2020/11/20 10:58
Vaping Biker,74600,UK,Youtube,2/m,电子烟,5000,1.2,https://ho.media/wp-content/uploads/2016/09/kol-Vaping-Biker.jpg,250,127.0.0.1,2020/11/20 10:58
Vaping with Vic,70600,UK,Youtube,1/d,电子烟,5000,0.5,https://ho.media/wp-content/uploads/2016/09/kol-Vaping-with-Vic.jpg,120,127.0.0.1,2020/11/20 10:58
Richard Vick,16600,UK,Youtube,4/w,电子烟,1500,0.4,https://ho.media/wp-content/uploads/2016/09/kol-Richard-Vick.jpg,50,127.0.0.1,2020/11/20 10:58
Vape Don't Smoke,22000,UK,Youtube,4/w,电子烟,1500,1,https://ho.media/wp-content/uploads/2016/09/kol-Vape-Dont-Smoke.jpg,50,127.0.0.1,2020/11/20 10:58
The Devil Vaper,11800,UK,Youtube,3/w,电子烟,1500,2.8,https://ho.media/wp-content/uploads/2016/09/kol-The-Devil-Vaper.jpg,50,127.0.0.1,2020/11/20 10:58
Jai Haze,195000,UK,Youtube,6/w,电子烟,40000,0.8,https://ho.media/wp-content/uploads/2016/09/kol-Jai-Haze.jpg,800,127.0.0.1,2020/11/20 10:58
Steamshots TV,116000,DE,Youtube,4/w,电子烟,10000,0.8,https://ho.media/wp-content/uploads/2016/09/kol-Steamshots-TV.jpg,300,127.0.0.1,2020/11/20 10:58
Dampfdidas,96200,DE,Youtube,2/w,电子烟,7000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-Dampfdidas.jpg,150,127.0.0.1,2020/11/20 10:58
