name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
VaperSTUFF,36000,JP,YouTube,2/w,电子烟,7000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-YUU-from-JVT.jpg,200,127.0.0.1,2020/11/20 11:05
Mr Moon Vapes,4460,JP,YouTube,1/w,电子烟,1000,0.8,https://ho.media/wp-content/uploads/2016/09/kol-y-Mr-Moon-Vapes.jpg,50,127.0.0.1,2020/11/20 11:05
てんちむCH,1520000,JP,YouTube,1/d,生活,900000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-てんちむCH.jpg,3000,127.0.0.1,2020/11/20 11:05
こーへい by ホリック TV,74300,JP,YouTube,1/d,电子烟,19000,0.1,https://ho.media/wp-content/uploads/2016/09/kol-y-HORICK-TV.jpg,100,127.0.0.1,2020/11/20 11:05
らむめろ,83900,JP,YouTube,4/m,生活,14000,0.1,https://ho.media/wp-content/uploads/2016/09/kol-y-らむめろ.jpg,100,127.0.0.1,2020/11/20 11:05
はじめしゃちょー,9100000,JP,YouTube,4/w,生活,1700000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-はじめしゃちょー.jpg,20000,127.0.0.1,2020/11/20 11:05
佐賀よかでしょう,749000,JP,YouTube,1/d,生活,360000,0.1,https://ho.media/wp-content/uploads/2016/09/kol-y-佐賀よかでしょう.jpg,1000,127.0.0.1,2020/11/20 11:05
yuki/reckoning day,27200,JP,YouTube,1/w,电子烟,10000,1.3,https://ho.media/wp-content/uploads/2016/09/kol-y-yukireckoning-day.jpg,100,127.0.0.1,2020/11/20 11:05
ベプログチャンネル,22600,JP,YouTube,1/w,电子烟,11000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-ベプログチャンネル.jpg,100,127.0.0.1,2020/11/20 11:05
しもふりチューブ,1110000,JP,YouTube,1/d,生活,700000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-しもふりチューブ.jpg,4500,127.0.0.1,2020/11/20 11:05
べぷ太郎,3400,JP,YouTube,1/d,电子烟,1500,1.8,https://ho.media/wp-content/uploads/2016/09/kol-y-べぷ太郎.jpg,50,127.0.0.1,2020/11/20 11:05
東海オンエアの控え室,2650000,JP,YouTube,4/w,娱乐,950000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-東海オンエアの控え室.jpg,7500,127.0.0.1,2020/11/20 11:05
