name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
VaperSTUFF,634000,ID,YouTube,1/d,电子烟,50000,0.5,https://ho.media/wp-content/uploads/2016/09/kol-y-VaperSTUFF.jpg,2000,127.0.0.1,2020/11/20 11:05
Endrilost,37900,ID,YouTube,4/m,电子烟,30000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Endrilost.jpg,100,127.0.0.1,2020/11/20 11:05
Ciko Laksani,21800,ID,YouTube,4/m,电子烟,6000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-Ciko-Laksani.jpg,50,127.0.0.1,2020/11/20 11:05
Panda Vapestore ,478000,ID,YouTube,5/m,电子烟,110000,1.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Panda-Vapestore.jpg,3000,127.0.0.1,2020/11/20 11:05
Vapehan,33300,ID,YouTube,1/w,电子烟,13000,1,https://ho.media/wp-content/uploads/2016/09/kol-y-Vapehan.jpg,200,127.0.0.1,2020/11/20 11:05
Ariffarisan!,202000,ID,YouTube,4/w,电子烟,28000,0.7,https://ho.media/wp-content/uploads/2016/09/kol-y-Ariffarisan.jpg,700,127.0.0.1,2020/11/20 11:05
Deddy Corbuzier,12600000,ID,YouTube,4/w,娱乐,5000000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Deddy-Corbuzier.jpg,17000,127.0.0.1,2020/11/20 11:05
Ghazy Hutama,13500,ID,YouTube,1/w,电子烟,12000,0.9,https://ho.media/wp-content/uploads/2016/09/kol-y-Ghazy-Hutama.jpg,50,127.0.0.1,2020/11/20 11:05
Vaporgod. Id,38700,ID,YouTube,1/w,电子烟,5000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Vaporgod.-id.jpg,50,127.0.0.1,2020/11/20 11:05
RESVLT PROJECT,65100,ID,YouTube,1/m,电子烟,13000,1.1,https://ho.media/wp-content/uploads/2016/09/kol-y-RESVLT-PROJECT.jpg,200,127.0.0.1,2020/11/20 11:05
Doyan Vape,173000,ID,YouTube,2/w,电子烟,20000,0.5,https://ho.media/wp-content/uploads/2016/09/kol-y-Doyan-Vape.jpg,300,127.0.0.1,2020/11/20 11:05
Bang Willy,29400,ID,YouTube,2/w,电子烟,4000,1.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Bang-Willy.jpg,50,127.0.0.1,2020/11/20 11:05
Aang Suhendi,17100,ID,YouTube,2/m,汽车/机车,9000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Aang-Suhendi.jpg,50,127.0.0.1,2020/11/20 11:05
